cards,has_solution,num_solutions
3 10 10 10,N,0
3 10 10 11,N,0
3 10 10 12,Y,16
3 10 10 13,N,0
3 10 11 11,N,0
3 10 11 12,Y,16
3 10 11 13,Y,20
3 10 12 12,N,0
3 10 12 13,N,0
3 10 13 13,N,0
3 11 11 11,N,0
3 11 11 12,Y,2
3 11 11 13,N,0
3 11 12 12,Y,16
3 11 12 13,N,0
3 11 13 13,N,0
3 12 12 12,Y,2
3 12 12 13,Y,16
3 12 13 13,Y,2
3 13 13 13,N,0
4 4 4 4,Y,6
4 4 4 5,Y,4
4 4 4 6,Y,85
4 4 4 7,Y,4
4 4 4 8,Y,12
4 4 4 9,Y,6
4 4 4 10,Y,4
4 4 4 11,Y,2
4 4 4 12,Y,36
4 4 4 13,N,0
4 4 5 5,Y,13
4 4 5 6,Y,22
4 4 5 7,Y,16
4 4 5 8,Y,34
4 4 5 9,N,0
4 4 5 10,Y,10
4 4 5 11,Y,64
4 4 5 12,Y,6
4 4 5 13,Y,8
4 4 6 6,N,0
4 4 6 7,N,0
4 4 6 8,Y,20
4 4 6 9,Y,47
4 4 6 10,Y,66
4 4 6 11,Y,6
4 4 6 12,Y,46
4 4 6 13,Y,2
4 4 7 7,Y,2
4 4 7 8,Y,18
4 4 7 9,Y,76
4 4 7 10,Y,2
4 4 7 11,N,0
4 4 7 12,Y,16
4 4 7 13,Y,4
4 4 8 8,Y,54
4 4 8 9,Y,8
4 4 8 10,Y,36
4 4 8 11,Y,6
4 4 8 12,Y,65
4 4 8 13,Y,8
4 4 9 9,N,0
4 4 9 10,N,0
4 4 9 11,Y,16
4 4 9 12,Y,4
4 4 9 13,N,0
4 4 10 10,Y,1
4 4 10 11,N,0
4 4 10 12,Y,28
4 4 10 13,Y,14
4 4 11 11,N,0
4 4 11 12,Y,12
4 4 11 13,Y,154
4 4 12 12,Y,77
4 4 12 13,Y,10
4 4 13 13,N,0
4 5 5 5,Y,12
4 5 5 6,Y,138
4 5 5 7,Y,2
4 5 5 8,Y,2
4 5 5 9,Y,22
4 5 5 10,Y,60
4 5 5 11,N,0
4 5 5 12,N,0
4 5 5 13,N,0
4 5 6 6,Y,24
4 5 6 7,Y,20
4 5 6 8,Y,16
4 5 6 9,Y,120
4 5 6 10,Y,40
4 5 6 11,Y,16
4 5 6 12,Y,16
4 5 6 13,Y,8
4 5 7 7,Y,12
4 5 7 8,Y,156
4 5 7 9,Y,32
4 5 7 10,Y,6
4 5 7 11,Y,22
4 5 7 12,Y,24
4 5 7 13,Y,8
4 5 8 8,Y,6
4 5 8 9,Y,22
4 5 8 10,Y,24
4 5 8 11,Y,20
4 5 8 12,Y,48
4 5 8 13,Y,18
4 5 9 9,Y,4
4 5 9 10,Y,20
4 5 9 11,N,0
4 5 9 12,Y,20
4 5 9 13,Y,22
4 5 10 10,Y,12
4 5 10 11,Y,24
4 5 10 12,Y,92
4 5 10 13,Y,90
4 5 11 11,Y,6
4 5 11 12,Y,114
4 5 11 13,Y,24
4 5 12 12,Y,18
4 5 12 13,Y,114
4 5 13 13,Y,4
4 6 6 6,Y,87
4 6 6 7,Y,28
4 6 6 8,Y,88
4 6 6 9,Y,12
4 6 6 10,Y,16
4 6 6 11,N,0
4 6 6 12,Y,22
4 6 6 13,N,0
4 6 7 7,Y,198
4 6 7 8,Y,36
4 6 7 9,Y,16
4 6 7 10,Y,26
4 6 7 11,N,0
4 6 7 12,Y,10
4 6 7 13,N,0
4 6 8 8,Y,156
4 6 8 9,Y,38
4 6 8 10,Y,12
4 6 8 11,N,0
4 6 8 12,Y,64
4 6 8 13,Y,8
4 6 9 9,Y,138
4 6 9 10,Y,44
4 6 9 11,N,0
4 6 9 12,Y,26
4 6 9 13,Y,90
4 6 10 10,Y,150
4 6 10 11,Y,20
4 6 10 12,Y,116
4 6 10 13,N,0
4 6 11 11,Y,183
4 6 11 12,Y,20
4 6 11 13,N,0
4 6 12 12,Y,152
4 6 12 13,Y,20
4 6 13 13,Y,183
4 7 7 7,Y,2
4 7 7 8,Y,10
4 7 7 9,N,0
4 7 7 10,N,0
4 7 7 11,Y,18
4 7 7 12,N,0
4 7 7 13,N,0
4 7 8 8,Y,22
4 7 8 9,Y,28
4 7 8 10,Y,16
4 7 8 11,Y,6
4 7 8 12,Y,18
4 7 8 13,Y,94
4 7 9 9,Y,2
4 7 9 10,Y,30
4 7 9 11,Y,4
4 7 9 12,Y,114
4 7 9 13,Y,18
4 7 10 10,Y,2
4 7 10 11,Y,110
4 7 10 12,Y,26
4 7 10 13,N,0
4 7 11 11,Y,2
4 7 11 12,Y,16
4 7 11 13,Y,8
4 7 12 12,Y,8
4 7 12 13,Y,24
4 7 13 13,Y,2
4 8 8 8,Y,12
4 8 8 9,Y,16
4 8 8 10,Y,18
4 8 8 11,Y,4
4 8 8 12,Y,59
4 8 8 13,Y,2
4 8 9 9,Y,2
4 8 9 10,Y,16
4 8 9 11,Y,110
4 8 9 12,Y,96
4 8 9 13,Y,18
4 8 10 10,Y,53
4 8 10 11,Y,16
4 8 10 12,Y,60
4 8 10 13,N,0
4 8 11 11,Y,8
4 8 11 12,Y,34
4 8 11 13,Y,20
4 8 12 12,Y,18
4 8 12 13,Y,28
4 8 13 13,Y,6
4 9 9 9,N,0
4 9 9 10,Y,45
4 9 9 11,N,0
4 9 9 12,Y,10
4 9 9 13,N,0
4 9 10 10,N,0
4 9 10 11,Y,6
4 9 10 12,Y,8
4 9 10 13,Y,20
4 9 11 11,Y,8
4 9 11 12,Y,32
4 9 11 13,N,0
4 9 12 12,Y,24
4 9 12 13,N,0
4 9 13 13,N,0
4 10 10 10,N,0
4 10 10 11,Y,4
4 10 10 12,Y,6
4 10 10 13,N,0
4 10 11 11,N,0
4 10 11 12,Y,12
4 10 11 13,Y,6
4 10 12 12,Y,28
4 10 12 13,Y,10
4 10 13 13,N,0
4 11 11 11,N,0
4 11 11 12,N,0
4 11 11 13,N,0
4 11 12 12,N,0
4 11 12 13,Y,32
4 11 13 13,N,0
4 12 12 12,Y,8
4 12 12 13,N,0
4 12 13 13,N,0
4 13 13 13,N,0
5 5 5 5,Y,1
5 5 5 6,Y,10
5 5 5 7,N,0
5 5 5 8,N,0
5 5 5 9,Y,20
5 5 5 10,N,0
5 5 5 11,N,0
5 5 5 12,Y,8
5 5 5 13,N,0
5 5 6 6,Y,11
5 5 6 7,Y,16
5 5 6 8,Y,60
5 5 6 9,N,0
5 5 6 10,N,0
5 5 6 11,Y,18
5 5 6 12,N,0
5 5 6 13,N,0
5 5 7 7,Y,36
5 5 7 8,Y,16
5 5 7 9,N,0
5 5 7 10,Y,16
5 5 7 11,Y,2
5 5 7 12,N,0
5 5 7 13,N,0
5 5 8 8,Y,1
5 5 8 9,Y,14
5 5 8 10,Y,18
5 5 8 11,Y,8
5 5 8 12,Y,8
5 5 8 13,Y,8
5 5 9 9,Y,1
5 5 9 10,Y,8
5 5 9 11,Y,4
5 5 9 12,N,0
5 5 9 13,N,0
5 5 10 10,Y,1
5 5 10 11,Y,8
5 5 10 12,N,0
5 5 10 13,Y,14
5 5 11 11,Y,1
5 5 11 12,Y,22
5 5 11 13,Y,138
5 5 12 12,Y,74
5 5 12 13,Y,16
5 5 13 13,Y,1
5 6 6 6,Y,2
5 6 6 7,Y,82
5 6 6 8,Y,6
5 6 6 9,Y,4
5 6 6 10,Y,12
5 6 6 11,N,0
5 6 6 12,Y,20
5 6 6 13,N,0
5 6 7 7,Y,2
5 6 7 8,Y,28
5 6 7 9,Y,6
5 6 7 10,N,0
5 6 7 11,N,0
5 6 7 12,Y,22
5 6 7 13,Y,42
5 6 8 8,Y,18
5 6 8 9,Y,32
5 6 8 10,Y,100
5 6 8 11,N,0
5 6 8 12,Y,26
5 6 8 13,Y,16
5 6 9 9,Y,8
5 6 9 10,Y,32
5 6 9 11,Y,32
5 6 9 12,Y,20
5 6 9 13,Y,4
5 6 10 10,Y,10
5 6 10 11,Y,20
5 6 10 12,Y,18
5 6 10 13,Y,90
5 6 11 11,Y,2
5 6 11 12,Y,108
5 6 11 13,Y,26
5 6 12 12,Y,14
5 6 12 13,Y,114
5 6 13 13,Y,2
5 7 7 7,N,0
5 7 7 8,N,0
5 7 7 9,Y,4
5 7 7 10,Y,6
5 7 7 11,Y,2
5 7 7 12,N,0
5 7 7 13,N,0
5 7 8 8,Y,22
5 7 8 9,Y,24
5 7 8 10,Y,4
5 7 8 11,N,0
5 7 8 12,N,0
5 7 8 13,N,0
5 7 9 9,N,0
5 7 9 10,Y,6
5 7 9 11,Y,4
5 7 9 12,Y,16
5 7 9 13,Y,94
5 7 10 10,Y,16
5 7 10 11,Y,2
5 7 10 12,Y,110
5 7 10 13,Y,4
5 7 11 11,Y,49
5 7 11 12,N,0
5 7 11 13,Y,4
5 7 12 12,Y,4
5 7 12 13,N,0
5 7 13 13,Y,45
5 8 8 8,Y,6
5 8 8 9,Y,10
5 8 8 10,Y,32
5 8 8 11,N,0
5 8 8 12,N,0
5 8 8 13,Y,45
5 8 9 9,N,0
5 8 9 10,N,0
5 8 9 11,Y,24
5 8 9 12,Y,98
5 8 9 13,Y,8
5 8 10 10,N,0
5 8 10 11,Y,90
5 8 10 12,Y,16
5 8 10 13,N,0
5 8 11 11,N,0
5 8 11 12,Y,36
5 8 11 13,Y,20
5 8 12 12,Y,2
5 8 12 13,N,0
5 8 13 13,N,0
5 9 9 9,N,0
5 9 9 10,N,0
5 9 9 11,Y,45
5 9 9 12,Y,16
5 9 9 13,N,0
5 9 10 10,Y,45
5 9 10 11,Y,8
5 9 10 12,N,0
5 9 10 13,Y,18
5 9 11 11,N,0
5 9 11 12,N,0
5 9 11 13,Y,4
5 9 12 12,Y,20
5 9 12 13,Y,20
5 9 13 13,N,0
5 10 10 10,N,0
5 10 10 11,Y,4
5 10 10 12,Y,20
5 10 10 13,Y,2
5 10 11 11,Y,6
5 10 11 12,N,0
5 10 11 13,N,0
5 10 12 12,N,0
5 10 12 13,Y,16
5 10 13 13,Y,12
5 11 11 11,N,0
5 11 11 12,N,0
5 11 11 13,N,0
5 11 12 12,Y,6
5 11 12 13,N,0
5 11 13 13,N,0
5 12 12 12,N,0
5 12 12 13,N,0
5 12 13 13,N,0
5 13 13 13,N,0
6 6 6 6,Y,7
6 6 6 7,N,0
6 6 6 8,Y,10
6 6 6 9,Y,21
6 6 6 10,Y,2
6 6 6 11,Y,2
6 6 6 12,Y,10
6 6 6 13,N,0
6 6 7 7,N,0
6 6 7 8,N,0
6 6 7 9,Y,18
6 6 7 10,Y,6
6 6 7 11,Y,4
6 6 7 12,Y,10
6 6 7 13,N,0
6 6 8 8,Y,8
6 6 8 9,Y,14
6 6 8 10,Y,18
6 6 8 11,Y,6
6 6 8 12,Y,71
6 6 8 13,Y,2
6 6 9 9,N,0
6 6 9 10,Y,18
6 6 9 11,Y,18
6 6 9 12,Y,30
6 6 9 13,Y,4
6 6 10 10,N,0
6 6 10 11,N,0
6 6 10 12,Y,30
6 6 10 13,Y,18
6 6 11 11,N,0
6 6 11 12,Y,12
6 6 11 13,Y,156
6 6 12 12,Y,71
6 6 12 13,Y,8
6 6 13 13,N,0
6 7 7 7,N,0
6 7 7 8,N,0
6 7 7 9,N,0
6 7 7 10,Y,8
6 7 7 11,Y,8
6 7 7 12,N,0
6 7 7 13,N,0
6 7 8 8,N,0
6 7 8 9,Y,8
6 7 8 10,Y,30
6 7 8 11,Y,32
6 7 8 12,Y,16
6 7 8 13,N,0
6 7 9 9,Y,26
6 7 9 10,N,0
6 7 9 11,N,0
6 7 9 12,Y,22
6 7 9 13,N,0
6 7 10 10,Y,2
6 7 10 11,N,0
6 7 10 12,Y,28
6 7 10 13,Y,110
6 7 11 11,Y,2
6 7 11 12,Y,110
6 7 11 13,Y,24
6 7 12 12,Y,12
6 7 12 13,Y,92
6 7 13 13,N,0
6 8 8 8,Y,6
6 8 8 9,Y,12
6 8 8 10,Y,26
6 8 8 11,Y,16
6 8 8 12,Y,24
6 8 8 13,N,0
6 8 9 9,Y,16
6 8 9 10,Y,6
6 8 9 11,Y,8
6 8 9 12,Y,32
6 8 9 13,Y,106
6 8 10 10,N,0
6 8 10 11,Y,2
6 8 10 12,Y,128
6 8 10 13,Y,16
6 8 11 11,Y,45
6 8 11 12,Y,8
6 8 11 13,Y,16
6 8 12 12,Y,36
6 8 12 13,N,0
6 8 13 13,Y,45
6 9 9 9,N,0
6 9 9 10,Y,16
6 9 9 11,Y,8
6 9 9 12,Y,45
6 9 9 13,N,0
6 9 10 10,N,0
6 9 10 11,Y,94
6 9 10 12,Y,10
6 9 10 13,N,0
6 9 11 11,N,0
6 9 11 12,Y,6
6 9 11 13,Y,6
6 9 12 12,Y,26
6 9 12 13,Y,32
6 9 13 13,N,0
6 10 10 10,Y,15
6 10 10 11,N,0
6 10 10 12,N,0
6 10 10 13,Y,2
6 10 11 11,N,0
6 10 11 12,Y,8
6 10 11 13,N,0
6 10 12 12,Y,18
6 10 12 13,Y,8
6 10 13 13,N,0
6 11 11 11,N,0
6 11 11 12,Y,6
6 11 11 13,N,0
6 11 12 12,Y,4
6 11 12 13,Y,6
6 11 13 13,N,0
6 12 12 12,Y,4
6 12 12 13,Y,2
6 12 13 13,Y,4
6 13 13 13,N,0
7 7 7 7,N,0
7 7 7 8,N,0
7 7 7 9,N,0
7 7 7 10,N,0
7 7 7 11,N,0
7 7 7 12,Y,8
7 7 7 13,N,0
7 7 8 8,N,0
7 7 8 9,N,0
7 7 8 10,N,0
7 7 8 11,Y,8
7 7 8 12,N,0
7 7 8 13,N,0
7 7 9 9,N,0
7 7 9 10,Y,6
7 7 9 11,N,0
7 7 9 12,N,0
7 7 9 13,N,0
7 7 10 10,N,0
7 7 10 11,N,0
7 7 10 12,N,0
7 7 10 13,Y,12
7 7 11 11,N,0
7 7 11 12,Y,14
7 7 11 13,Y,142
7 7 12 12,Y,77
7 7 12 13,Y,12
7 7 13 13,N,0
7 8 8 8,N,0
7 8 8 9,Y,6
7 8 8 10,Y,4
7 8 8 11,Y,2
7 8 8 12,Y,16
7 8 8 13,Y,16
7 8 9 9,N,0
7 8 9 10,Y,8
7 8 9 11,N,0
7 8 9 12,Y,32
7 8 9 13,Y,16
7 8 10 10,Y,6
7 8 10 11,Y,16
7 8 10 12,N,0
7 8 10 13,Y,90
7 8 11 11,N,0
7 8 11 12,Y,98
7 8 11 13,Y,26
7 8 12 12,Y,12
7 8 12 13,Y,110
7 8 13 13,N,0
7 9 9 9,N,0
7 9 9 10,N,0
7 9 9 11,N,0
7 9 9 12,N,0
7 9 9 13,Y,45
7 9 10 10,N,0
7 9 10 11,Y,8
7 9 10 12,Y,90
7 9 10 13,N,0
7 9 11 11,Y,45
7 9 11 12,Y,18
7 9 11 13,N,0
7 9 12 12,Y,4
7 9 12 13,N,0
7 9 13 13,Y,49
7 10 10 10,N,0
7 10 10 11,Y,45
7 10 10 12,Y,6
7 10 10 13,N,0
7 10 11 11,N,0
7 10 11 12,N,0
7 10 11 13,Y,6
7 10 12 12,Y,10
7 10 12 13,Y,16
7 10 13 13,N,0
7 11 11 11,N,0
7 11 11 12,N,0
7 11 11 13,N,0
7 11 12 12,N,0
7 11 12 13,N,0
7 11 13 13,N,0
7 12 12 12,N,0
7 12 12 13,Y,8
7 12 13 13,N,0
7 13 13 13,N,0
8 8 8 8,N,0
8 8 8 9,N,0
8 8 8 10,Y,6
8 8 8 11,Y,2
8 8 8 12,Y,10
8 8 8 13,Y,8
8 8 9 9,N,0
8 8 9 10,N,0
8 8 9 11,Y,14
8 8 9 12,Y,4
8 8 9 13,Y,2
8 8 10 10,N,0
8 8 10 11,N,0
8 8 10 12,Y,6
8 8 10 13,Y,16
8 8 11 11,N,0
8 8 11 12,Y,12
8 8 11 13,Y,144
8 8 12 12,Y,77
8 8 12 13,Y,8
8 8 13 13,N,0
8 9 9 9,N,0
8 9 9 10,N,0
8 9 9 11,N,0
8 9 9 12,Y,8
8 9 9 13,N,0
8 9 10 10,N,0
8 9 10 11,N,0
8 9 10 12,Y,32
8 9 10 13,Y,98
8 9 11 11,Y,2
8 9 11 12,Y,90
8 9 11 13,Y,24
8 9 12 12,Y,22
8 9 12 13,Y,98
8 9 13 13,N,0
8 10 10 10,N,0
8 10 10 11,N,0
8 10 10 12,Y,45
8 10 10 13,N,0
8 10 11 11,Y,45
8 10 11 12,N,0
8 10 11 13,N,0
8 10 12 12,Y,20
8 10 12 13,Y,8
8 10 13 13,Y,45
8 11 11 11,N,0
8 11 11 12,N,0
8 11 11 13,N,0
8 11 12 12,Y,2
8 11 12 13,N,0
8 11 13 13,N,0
8 12 12 12,N,0
8 12 12 13,N,0
8 12 13 13,N,0
8 13 13 13,N,0
9 9 9 9,N,0
9 9 9 10,N,0
9 9 9 11,N,0
9 9 9 12,Y,8
9 9 9 13,N,0
9 9 10 10,N,0
9 9 10 11,N,0
9 9 10 12,N,0
9 9 10 13,Y,12
9 9 11 11,N,0
9 9 11 12,Y,14
9 9 11 13,Y,138
9 9 12 12,Y,69
9 9 12 13,Y,10
9 9 13 13,N,0
9 10 10 10,N,0
9 10 10 11,N,0
9 10 10 12,N,0
9 10 10 13,Y,45
9 10 11 11,N,0
9 10 11 12,Y,106
9 10 11 13,Y,26
9 10 12 12,Y,12
9 10 12 13,Y,90
9 10 13 13,N,0
9 11 11 11,Y,15
9 11 11 12,N,0
9 11 11 13,N,0
9 11 12 12,Y,4
9 11 12 13,Y,16
9 11 13 13,Y,45
9 12 12 12,Y,2
9 12 12 13,N,0
9 12 13 13,N,0
9 13 13 13,N,0
10 10 10 10,N,0
10 10 10 11,N,0
10 10 10 12,Y,8
10 10 10 13,Y,12
10 10 11 11,N,0
10 10 11 12,Y,12
10 10 11 13,Y,138
10 10 12 12,Y,69
10 10 12 13,Y,8
10 10 13 13,N,0
10 11 11 11,N,0
10 11 11 12,Y,45
10 11 11 13,Y,36
10 11 12 12,Y,28
10 11 12 13,Y,90
10 11 13 13,N,0
10 12 12 12,Y,2
10 12 12 13,Y,14
10 12 13 13,Y,45
10 13 13 13,Y,12
11 11 11 11,N,0
11 11 11 12,Y,20
11 11 11 13,Y,85
11 11 12 12,Y,69
11 11 12 13,Y,32
11 11 13 13,N,0
11 12 12 12,Y,24
11 12 12 13,Y,142
11 12 13 13,Y,36
11 13 13 13,Y,85
12 12 12 12,Y,31
12 12 12 13,Y,20
12 12 13 13,Y,69
12 13 13 13,Y,16
13 13 13 13,N,0
