Cards,HasSolution
4 8 13 13,Y
4 9 9 9,N
4 9 9 10,Y
4 9 9 11,N
4 9 9 12,Y
4 9 9 13,N
4 9 10 10,N
4 9 10 11,Y
4 9 10 12,Y
4 9 10 13,Y
4 9 11 11,Y
4 9 11 12,Y
4 9 11 13,N
4 9 12 12,Y
4 9 12 13,N
4 9 13 13,N
4 10 10 10,N
4 10 10 11,Y
4 10 10 12,Y
4 10 10 13,N
4 10 11 11,N
4 10 11 12,Y
4 10 11 13,Y
4 10 12 12,Y
4 10 12 13,Y
4 10 13 13,N
4 11 11 11,N
4 11 11 12,N
4 11 11 13,N
4 11 12 12,N
4 11 12 13,Y
4 11 13 13,N
4 12 12 12,Y
4 12 12 13,N
4 12 13 13,N
4 13 13 13,N
5 5 5 5,Y
5 5 5 6,Y
5 5 5 7,N
5 5 5 8,N
5 5 5 9,Y
5 5 5 10,N
5 5 5 11,N
5 5 5 12,Y
5 5 5 13,N
5 5 6 6,Y
5 5 6 7,Y
5 5 6 8,Y
5 5 6 9,N
5 5 6 10,N
5 5 6 11,Y
5 5 6 12,N
5 5 6 13,N
5 5 7 7,Y
5 5 7 8,Y
5 5 7 9,N
5 5 7 10,Y
5 5 7 11,Y
5 5 7 12,N
5 5 7 13,N
5 5 8 8,Y
5 5 8 9,Y
5 5 8 10,Y
5 5 8 11,Y
5 5 8 12,Y
5 5 8 13,Y
5 5 9 9,Y
5 5 9 10,Y
5 5 9 11,Y
5 5 9 12,N
5 5 9 13,N
5 5 10 10,Y
5 5 10 11,Y
5 5 10 12,N
5 5 10 13,Y
5 5 11 11,Y
5 5 11 12,Y
5 5 11 13,Y
5 5 12 12,Y
5 5 12 13,Y
5 5 13 13,Y
5 6 6 6,Y
5 6 6 7,Y
5 6 6 8,Y
5 6 6 9,Y
5 6 6 10,Y
5 6 6 11,N
5 6 6 12,Y
5 6 6 13,N
5 6 7 7,Y
5 6 7 8,Y
5 6 7 9,Y
5 6 7 10,N
5 6 7 11,N
5 6 7 12,Y
5 6 7 13,Y
5 6 8 8,Y
5 6 8 9,Y
5 6 8 10,Y
5 6 8 11,N
5 6 8 12,Y
5 6 8 13,Y
5 6 9 9,Y
5 6 9 10,Y
5 6 9 11,Y
5 6 9 12,Y
5 6 9 13,Y
5 6 10 10,Y
5 6 10 11,Y
5 6 10 12,Y
5 6 10 13,Y
5 6 11 11,Y
5 6 11 12,Y
5 6 11 13,Y
5 6 12 12,Y
5 6 12 13,Y
5 6 13 13,Y
5 7 7 7,N
5 7 7 8,N
5 7 7 9,Y
5 7 7 10,Y
5 7 7 11,Y
5 7 7 12,N
5 7 7 13,N
5 7 8 8,Y
5 7 8 9,Y
5 7 8 10,Y
5 7 8 11,N
5 7 8 12,N
5 7 8 13,N
5 7 9 9,N
5 7 9 10,Y
5 7 9 11,Y
5 7 9 12,Y
5 7 9 13,Y
5 7 10 10,Y
5 7 10 11,Y
5 7 10 12,Y
5 7 10 13,Y
5 7 11 11,Y
5 7 11 12,N
5 7 11 13,Y
5 7 12 12,Y
5 7 12 13,N
5 7 13 13,Y
5 8 8 8,Y
5 8 8 9,Y
5 8 8 10,Y
5 8 8 11,N
5 8 8 12,N
5 8 8 13,Y
5 8 9 9,N
5 8 9 10,N
5 8 9 11,Y
5 8 9 12,Y
5 8 9 13,Y
5 8 10 10,N
5 8 10 11,Y
5 8 10 12,Y
5 8 10 13,N
5 8 11 11,N
5 8 11 12,Y
5 8 11 13,Y
5 8 12 12,Y
5 8 12 13,N
5 8 13 13,N
5 9 9 9,N
5 9 9 10,N
5 9 9 11,Y
5 9 9 12,Y
5 9 9 13,N
5 9 10 10,Y
5 9 10 11,Y
5 9 10 12,N
5 9 10 13,Y
5 9 11 11,N
5 9 11 12,N
5 9 11 13,Y
5 9 12 12,Y
5 9 12 13,Y
5 9 13 13,N
5 10 10 10,N
5 10 10 11,Y
5 10 10 12,Y
5 10 10 13,Y
5 10 11 11,Y
5 10 11 12,N
5 10 11 13,N
5 10 12 12,N
5 10 12 13,Y
5 10 13 13,Y
5 11 11 11,N
5 11 11 12,N
5 11 11 13,N
5 11 12 12,Y
5 11 12 13,N
5 11 13 13,N
5 12 12 12,N
5 12 12 13,N
5 12 13 13,N
5 13 13 13,N
6 6 6 6,Y
6 6 6 7,N
6 6 6 8,Y
6 6 6 9,Y
6 6 6 10,Y
6 6 6 11,Y
6 6 6 12,Y
6 6 6 13,N
6 6 7 7,N
6 6 7 8,N
6 6 7 9,Y
6 6 7 10,Y
6 6 7 11,Y
6 6 7 12,Y
6 6 7 13,N
6 6 8 8,Y
6 6 8 9,Y
6 6 8 10,Y
6 6 8 11,Y
6 6 8 12,Y
6 6 8 13,Y
6 6 9 9,N
6 6 9 10,Y
6 6 9 11,Y
6 6 9 12,Y
6 6 9 13,Y
6 6 10 10,N
6 6 10 11,N
6 6 10 12,Y
6 6 10 13,Y
6 6 11 11,N
6 6 11 12,Y
6 6 11 13,Y
6 6 12 12,Y
6 6 12 13,Y
6 6 13 13,N
6 7 7 7,N
6 7 7 8,N
6 7 7 9,N
6 7 7 10,Y
6 7 7 11,Y
6 7 7 12,N
6 7 7 13,N
6 7 8 8,N
6 7 8 9,Y
6 7 8 10,Y
6 7 8 11,Y
6 7 8 12,Y
6 7 8 13,N
6 7 9 9,Y
6 7 9 10,N
6 7 9 11,N
6 7 9 12,Y
6 7 9 13,N
6 7 10 10,Y
6 7 10 11,N
6 7 10 12,Y
6 7 10 13,Y
6 7 11 11,Y
6 7 11 12,Y
6 7 11 13,Y
6 7 12 12,Y
6 7 12 13,Y
6 7 13 13,N
6 8 8 8,Y
6 8 8 9,Y
6 8 8 10,Y
6 8 8 11,Y
6 8 8 12,Y
6 8 8 13,N
6 8 9 9,Y
6 8 9 10,Y
6 8 9 11,Y
6 8 9 12,Y
6 8 9 13,Y
6 8 10 10,N
6 8 10 11,Y
6 8 10 12,Y
6 8 10 13,Y
6 8 11 11,Y
6 8 11 12,Y
6 8 11 13,Y
6 8 12 12,Y
6 8 12 13,N
6 8 13 13,Y
6 9 9 9,N
6 9 9 10,Y
6 9 9 11,Y
6 9 9 12,Y
6 9 9 13,N
6 9 10 10,N
6 9 10 11,Y
6 9 10 12,Y
6 9 10 13,N
6 9 11 11,N
6 9 11 12,Y
6 9 11 13,Y
6 9 12 12,Y
6 9 12 13,Y
6 9 13 13,N
6 10 10 10,Y
6 10 10 11,N
6 10 10 12,N
6 10 10 13,Y
6 10 11 11,N
6 10 11 12,Y
6 10 11 13,N
6 10 12 12,Y
6 10 12 13,Y
6 10 13 13,N
6 11 11 11,N
6 11 11 12,Y
6 11 11 13,N
6 11 12 12,Y
6 11 12 13,Y
6 11 13 13,N
6 12 12 12,Y
6 12 12 13,Y
6 12 13 13,Y
6 13 13 13,N
7 7 7 7,N
7 7 7 8,N
7 7 7 9,N
7 7 7 10,N
7 7 7 11,N
7 7 7 12,Y
7 7 7 13,N
7 7 8 8,N
7 7 8 9,N
7 7 8 10,N
7 7 8 11,Y
7 7 8 12,N
7 7 8 13,N
7 7 9 9,N
7 7 9 10,Y
7 7 9 11,N
7 7 9 12,N
7 7 9 13,N
7 7 10 10,N
7 7 10 11,N
7 7 10 12,N
7 7 10 13,Y
7 7 11 11,N
7 7 11 12,Y
7 7 11 13,Y
7 7 12 12,Y
7 7 12 13,Y
7 7 13 13,N
7 8 8 8,N
7 8 8 9,Y
7 8 8 10,Y
7 8 8 11,Y
7 8 8 12,Y
7 8 8 13,Y
7 8 9 9,N
7 8 9 10,Y
7 8 9 11,N
7 8 9 12,Y
7 8 9 13,Y
7 8 10 10,Y
7 8 10 11,Y
7 8 10 12,N
7 8 10 13,Y
7 8 11 11,N
7 8 11 12,Y
7 8 11 13,Y
7 8 12 12,Y
7 8 12 13,Y
7 8 13 13,N
7 9 9 9,N
7 9 9 10,N
7 9 9 11,N
7 9 9 12,N
7 9 9 13,Y
7 9 10 10,N
7 9 10 11,Y
7 9 10 12,Y
7 9 10 13,N
7 9 11 11,Y
7 9 11 12,Y
7 9 11 13,N
7 9 12 12,Y
7 9 12 13,N
7 9 13 13,Y
7 10 10 10,N
7 10 10 11,Y
7 10 10 12,Y
7 10 10 13,N
7 10 11 11,N
7 10 11 12,N
7 10 11 13,Y
7 10 12 12,Y
7 10 12 13,Y
7 10 13 13,N
7 11 11 11,N
7 11 11 12,N
7 11 11 13,N
7 11 12 12,N
7 11 12 13,N
7 11 13 13,N
7 12 12 12,N
7 12 12 13,Y
7 12 13 13,N
7 13 13 13,N
8 8 8 8,N
8 8 8 9,N
8 8 8 10,Y
8 8 8 11,Y
8 8 8 12,Y
8 8 8 13,Y
8 8 9 9,N
8 8 9 10,N
8 8 9 11,Y
8 8 9 12,Y
8 8 9 13,Y
8 8 10 10,N
8 8 10 11,N
8 8 10 12,Y
8 8 10 13,Y
8 8 11 11,N
8 8 11 12,Y
8 8 11 13,Y
8 8 12 12,Y
8 8 12 13,Y
8 8 13 13,N
8 9 9 9,N
8 9 9 10,N
8 9 9 11,N
8 9 9 12,Y
8 9 9 13,N
8 9 10 10,N
8 9 10 11,N
8 9 10 12,Y
8 9 10 13,Y
8 9 11 11,Y
8 9 11 12,Y
8 9 11 13,Y
8 9 12 12,Y
8 9 12 13,Y
8 9 13 13,N
8 10 10 10,N
8 10 10 11,N
8 10 10 12,Y
8 10 10 13,N
8 10 11 11,Y
8 10 11 12,N
8 10 11 13,N
8 10 12 12,Y
8 10 12 13,Y
8 10 13 13,Y
8 11 11 11,N
8 11 11 12,N
8 11 11 13,N
8 11 12 12,Y
8 11 12 13,N
8 11 13 13,N
8 12 12 12,N
8 12 12 13,N
8 12 13 13,N
8 13 13 13,N
9 9 9 9,N
9 9 9 10,N
9 9 9 11,N
9 9 9 12,Y
9 9 9 13,N
9 9 10 10,N
9 9 10 11,N
9 9 10 12,N
9 9 10 13,Y
9 9 11 11,N
9 9 11 12,Y
9 9 11 13,Y
9 9 12 12,Y
9 9 12 13,Y
9 9 13 13,N
9 10 10 10,N
9 10 10 11,N
9 10 10 12,N
9 10 10 13,Y
9 10 11 11,N
9 10 11 12,Y
9 10 11 13,Y
9 10 12 12,Y
9 10 12 13,Y
9 10 13 13,N
9 11 11 11,Y
9 11 11 12,N
9 11 11 13,N
9 11 12 12,Y
9 11 12 13,Y
9 11 13 13,Y
9 12 12 12,Y
9 12 12 13,N
9 12 13 13,N
9 13 13 13,N
10 10 10 10,N
10 10 10 11,N
10 10 10 12,Y
10 10 10 13,Y
10 10 11 11,N
10 10 11 12,Y
10 10 11 13,Y
10 10 12 12,Y
10 10 12 13,Y
10 10 13 13,N
10 11 11 11,N
10 11 11 12,Y
10 11 11 13,Y
10 11 12 12,Y
10 11 12 13,Y
10 11 13 13,N
10 12 12 12,Y
10 12 12 13,Y
10 12 13 13,Y
10 13 13 13,Y
11 11 11 11,N
11 11 11 12,Y
11 11 11 13,Y
11 11 12 12,Y
11 11 12 13,Y
11 11 13 13,N
11 12 12 12,Y
11 12 12 13,Y
11 12 13 13,Y
11 13 13 13,Y
12 12 12 12,Y
12 12 12 13,Y
12 12 13 13,Y
12 13 13 13,Y
13 13 13 13,N
